"DealerName","DealerNumber","EstablishedDate","InactiveDate","TaxID","AlphaCode","DealerCRD","MainTelephone","MainFax","StreetAddress","City","State","ZipCode","Platforms","TradingContact","DividendsContact","InvoicesContact","GroupContact","ContractIncludesAllFundsValue","FeePaymentMatrix","AdditionalPaymentInformation","WireInstructions","CheckAddress","OperationsQuestionnaire","RefresherDetails","TradingMethodValue","AccountTypes","SignatureGuaranteeWaiver","c_22c2FormOnFileValue","AdditionalContacts","HistoricalInformation","RedemptionFeeExceptions","Contracts","ClearingCorrespondents","Notes","IDCValue","Site","AdditionalInformation","BillingChannels","LastIntermediaryDueDiligenceReview","ADC22c2Feed","ACHPaymentInstructions","FirmAddress","DealerGroupId","TradesSuperOmnibusValue","TradesOmnibusValue","MarketTimingInformation","DateOfReceiptOfMostRecentControlAuditReport","CreatedById","ModifiedById","Modified","Created","PrimaryDealer","ParticipatesInCBRS","PayNoPayDealerValue","Authorized3rdParty","ContractIncludesRetirementClass","ContractNotes","BillingMethodValue","Id"
"Benjamin F Edwards & Co","209159","2009-09-09 00:00:00",,"26-3199152",,"146936","314-726-1600","314-726-1601","1 N Brentwood Blvd Ste 850","St Louis","MO","63105",,"<div class=""ExternalClass7CBF9B552C8D467C81721C54EF1F5682""><div>Al Tylka</div>
<div>Phone&#58;314-480-1147</div>
<div>Email&#58; al.tylka@benjaminfedwards.com​</div></div>",,,,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794192&objAction=browse&viewType=1, Benjamin F Edwards & Co Fee Payment Matrix",,"<div class=""ExternalClass972BABFA366E43729EEE6FA40D268DE8""><html>
  <div class=""ExternalClass152FD7CE00144C84AE1E8318491D3A3F"">
    <div>Benjamin F Edwards &amp; Company INC</div>
<div>Routing #072471887</div>
<div>Account#3800151626</div>
<div>​</div></div>
</html></div>",,"http://harborware/livelink/llisapi.dll?func=ll&objId=4794187&objAction=browse&viewType=1, Operations Questionnaire",,,"Omnibus","No","Yes",,,,,,,"Yes","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/benjamin_f_edwards/, Site",,,,"False",,"ONE NORTH BRENTWOOD BLVD, SUITE 850
ST. LOUIS, MO  63105",75,"No","Yes",,,41,107,"2016-03-03 15:02:17","2011-09-26 17:02:11",,,"$",,,,,2
"Intercarolina Financial Services Inc","209061","2007-12-28 00:00:00","2016-12-10 00:00:00","56-1563464",,"19475","336 288 6890","336 545 1971","3300 Battleground Ave Ste 400","Greensboro","NC","27410",,"<div class=""ExternalClassF592B2DB8A924F64B395EA0456F6D126""><div>Anna Nelson</div>
<div>Phone&#58; (336) 288-6890</div>
<div>Email&#58; <a href=""mailto&#58;annenc@intercarolina.net"">annenc@intercarolina.net</a>​</div></div>",,"<div class=""ExternalClass13B34B26EFF24FFD9EDA4BFB905C9E31""><div>Joe Navolanic</div>
<div>Phone&#58; (336) 288 6890</div>
<div>Email&#58; <a href=""mailto&#58;jn5810@intercarolina.net"">jn5810@intercarolina.net</a>​</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794481&objAction=browse&viewType=3, Fee Payment Matrix",,,"Intercarolina Financial Services
3300 BATTLEGROUND AVE
SUITE 400
GREENSBORO, NC 27410-2492  ","http://harborware/livelink/llisapi.dll?func=ll&objId=4794173&objAction=browse&viewType=1, Operations Questionnaire",,"Trades via Mid Atlantic","Omnibus","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/intercarolina_financial_services/default.aspx, Site",,,,"False",,"3300 BATTLEGROUND AVENUE SUITE 400
GREENSBORO, NC  27410-2447",75,"No","No",,,41,105,"2016-12-22 11:13:18","2011-09-27 09:26:46",,,"$",,,,,3
"AXA Advisors LLc","209009","2005-05-25 00:00:00",,"13-4071393","9B","6627","(212) 314-4000","(212) 314-4770","1290 Avenue of the Americas","New York","NY","10104",,"<div class=""ExternalClass9F2A2E64D135468A9F9566354FA979AA""><div>Sal DiBenedetto</div>
<div>Email&#58;​<a href=""mailto&#58;sal.dibenedetto@lpl.com"">sal.dibenedetto@lpl.com</a></div>
<div>Phone&#58;&#160;858-450-9606 X 7740</div>
<div>&#160;</div></div>","<div class=""ExternalClass6B0843F026F44F2A828C36091E3ACEA6""><div>Rachel Riedel</div>
<div><div>Phone&#58; 858-450-9606 X6829</div></div>
<div>Email&#58; <a href=""mailto&#58;rachel.riedel@lpl.com"">rachel.riedel@lpl.com</a></div></div>","<div class=""ExternalClass6E60E864DA96407FB118D7356105672B""><div>Carmen Bayley</div>
<div>Phone&#58; 212-314-4769</div>
<div>Email&#58; carmen.bayley@axaequitable.com</div>
<div>&#160;​</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4793849&objAction=browse&viewType=1, AXA Advisors LLC Fee Payment Folder",,"<div class=""ExternalClass49C031137DEE4A0EA1F8FF703BF95132""><html>
  <div class=""ExternalClass86609C44295B4B738472B569EAE702FC"">
    <div>AXAA</div>
<div>ABA 021000021</div>
<div>DDA&#160;037-1-038399</div>
<div>​</div></div>
</html></div>","1290 AVENUE OF THE AMERICAS
NEW YORK, NY 10104-1472 ​","http://harborware/livelink/llisapi.dll?func=ll&objId=4793844&objAction=browse&viewType=1, AXA Advisors LLC Ops Quest","Dividend - Daily, Financial Activity - Daily, Position - Weekly on Friday","NSCC","Broken Out","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/axa_advisors/, Site","<div class=""ExternalClassC798075C752842A19400534D103E4207""><html>
  <p>Primarily clears through LPL but is also a Pershing Clearing Correspondent.&#160; </p>
</html></div>",,,"False",,"1290 AVENUE OF THE AMERICAS
NEW YORK, NY  10104",89,"No","No",,,41,107,"2016-03-03 14:38:11","2011-09-26 16:58:21",,,"$",,,,,4
"ADP Inc","7120","2004-07-23 00:00:00",,"02-0443137","QD","37693","973-712-2122","973-712-2292","71 Hanover Rd","Florham Park","NJ","07932","12b1 and Sub TA Fees","<div class=""ExternalClassB51DDBFAFA2D44BE95B495CFC84A220A""><div>Anthony Davis </div>
<div>Phone&#58; 973-712-2588​</div>
<div>Email&#58; Anthony_S_Davis@adp.com</div>
<div>&#160;</div>
<div>&#160;</div></div>",,"<div class=""ExternalClassF8198BC4127B47C4B56F8CB85E96C811""><div>Christine Povinelli</div>
<div>Phone&#58;973-712-2179</div>
<div>Email&#58; christine.povinelli@adp.com​</div>
<div>&#160;</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4763088&objAction=browse&viewType=1, Fee Payments Matrix","12b1 and Sub TA Fees: MTF/Wire","<div class=""ExternalClass7C3A835E251C423FAC0F288C663C7745""><html>
  <div class=""ExternalClassA5EF74C7A9F249F48CD292AFD1D6351F"">
    <div>​</div>
<div>&#160;</div>
</div>
</html></div>","ADP BROKER-DEALER, INC.
BOX 28233
NEW YORK, NY 10087-8233
","http://harborware/livelink/llisapi.dll?func=ll&objId=4763083&objAction=browse&viewType=1, Operations Questionnaire","Dividend - Daily, Financial Activity - Daily - Position - 2nd and 4th Friday","NSCC","Omnibus","Yes","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/7120/default.aspx, Site","<div class=""ExternalClass8FA1953F9ED24FF895F82F0C48F48E3A""><html>
  <div class=""ExternalClass19AC760E09BF4F80B582AD32BCBCEFB2"">
    <p>Agreement with ADP includes both 12b-1 and Sub TA fees.&#160; For operational reasons, Sub TA fees are generally paid through ADP's TPA number (707120).&#160; TA fees will only generate for dealer 7120 if no TPA is listed on a particular account.​</p>
<p>Other Dealer Profiles for ADP include&#58;</p>
<p>707120 - Used to pay Sub TA fees on certain accounts.</p>
<p>507120 - Custodian ID used for NSCC Trust trading only.</p>
</div>
</html></div>",,"2013-09-20 00:00:00","False","ADP BROKER DEALER INC 
ABA:021000021
Account:802907022","One ADP Boulevard
Roseland, NJ 07068- 1786",1,"No","Yes",,,41,106,"2019-11-22 14:17:25","2011-09-15 12:13:40","True","False","$",,"True",,,5
"VALIC Retirement Services Company (VRSCO)","0681","2005-10-04 00:00:00",,"76-0519990","QJ","42803","713-831-6043","713-831-5380","2929 Allen Parkway, A6-20","Houston","TX","77019-2118",,"<div class=""ExternalClass03DDF142EE0845D18A37FF9288C5AB5E""><div>Jonathan Osborne </div>
<div><div>Phone&#58;713-831-5446</div></div>
<div><div>Email&#58; jonathan.osborne@valic.com​&#160;</div></div></div>","<div class=""ExternalClassCA3605A38E574F03909E123331A6DA5C""><div>Valic Trading </div>
<div>Phone&#58;713-831-6043 </div>
<div><div>Email&#58; <a href=""mailto&#58;trading@valic.com""><font color=""#0072bc"">trading@valic.com</font></a></div></div></div>","<div class=""ExternalClass456EB7DE18824D50B547BAEE1B9FA75A""><div>Valic Trading</div>
<div>Phone&#58; 713-831-6043</div>
<div>Email&#58;<a href=""mailto&#58;trading@valic.com"">trading@valic.com</a></div></div>","trading@valic.com ","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794076&objAction=browse&viewType=1, AIG Fee Payment Folder",,"<div class=""ExternalClass8C27048FC6914210B58FB24273E2904C""><html>
  <div class=""ExternalClass8F51C08C1B0647BD89EADB0E826F02F5"">&#160;</div>
</html></div>","Valic
C/O JP Morgan Chase
PO Box 301086
Dallas TX 75303-1086","http://harborware/livelink/llisapi.dll?func=ll&objId=4793970&objAction=browse&viewType=1, AIG Contact Information",,"NSCC","Broken out","NO","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/aig_valic/default.aspx, Site","<div class=""ExternalClassDB5DA3E4BA87468DAE923B3FF8519D41""><html>
  <p>​<span style=""color&#58;black;"">Other Dealer Profiles for Valic Financial Advisors include&#58;</span></p>
<div><span style=""color&#58;black;""></span><span style=""font-family&#58;calibri;color&#58;black;font-size&#58;10pt;"">500681 - Custodian ID used for NSCC Trust trading/settlement only.</span></div>
<div><span style=""font-family&#58;calibri;color&#58;black;font-size&#58;10pt;"">100681&#160;- TPA used for fee payment on certain accounts.</span></div><span id=""ms-rterangepaste-end""></span></html></div>",,,"False",,"2929 ALLEN PARKWAY
L3-20
HOUSTON, TX  77019-2158",70,"No","Yes",,,41,307,"2018-02-22 10:34:40","2011-09-26 12:55:51","True",,"$",,"True",,,6
"Ameriprise Financial","0216","1999-10-13 00:00:00","2017-04-07 00:00:00","38-1961943(0756) 41-0973005 (0216)","OD/AE","6363 (0216)","313 628-1200 (0756)  612-678-7526 (0216)","N/A","369 Amerprise Financial Center","Minneapolis","MN","555449","N/A","<div class=""ExternalClass2D76B3E3580949D5A83DCC1C240AB025""><div>Joe Baran</div>
<div>Email&#58; <a href=""mailto&#58;jbaran@hrblock.com""><font color=""#0072bc"">jbaran@hrblock.com</font></a></div>
<div>Phone&#160;(313) 628-1694​</div></div>","<div class=""ExternalClassA33534AA1CD1435F9BD7B6670B16B6B3""><div>Joe Baran</div>
<div>Email&#58; <a href=""mailto&#58;jbaran@hrblock.com""><font color=""#0072bc"">jbaran@hrblock.com</font></a></div>
<div>Phone&#58; (313) 628-1694​</div></div>","<div class=""ExternalClass553A7EB099684E18BA4359074B9F43BA""><div>Joe Baran (0756)</div>
<div>Email&#58; <a href=""mailto&#58;jbaran@hrblock.com"">jbaran@hrblock.com</a></div>
<div><div>Phone&#58; (313) 628-1694​</div>
<div>&#160;</div>
<div>Mary Backstrom (0216)</div>
<div>Email&#58; <a href=""mailto&#58;mary.backstrom@ampf.com"">mary.backstrom@ampf.com</a></div></div></div>","N/A","Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4793647&objAction=browse&viewType=1, Fee Payment Matrix",,"<div class=""ExternalClass406AE4C2AB5848BC9C5EAE7A33C72C20""><html>
  <div class=""ExternalClassB1EFBD42B45D4077AF1617EFF8D003D6"">&#160;</div>
</html></div>","MINNEAPOLIS
369 AMERIPRISE FINANCIAL CENTER
MINNEAPOLIS, MN 55474-0003    ","http://harborware/livelink/llisapi.dll?func=ll&objId=4793642&objAction=browse&viewType=1, American Enterprise Ops Questionnaire","Dividend- Daily, Financial- Daily, Account Position- 2nd & 4th Fridays, Dec Month End","NSCC","Matrix Level ","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/american_enterprise/, Site",,"<div class=""ExternalClass2BF74B29FA9947F3BA5B1621453FDCE1""><html>
  <div>
<br>&#160; 
<br></br></br></div>
</html></div>","2013-06-28 00:00:00","False",,"707 2ND AVENUE SOUTH
MINNEAPOLIS, MN  55402",2,"No","No",,,41,105,"2017-04-07 08:42:29","2011-11-14 14:46:56",,,"$",,,,,7
"American Portfolios Financial Services","0555","2006-11-24 00:00:00",,"11-3018002","PK","18487","(631) 439-4600","(631) 439-4698","4250 Veterans Memorial Hwy Ste 420 E","Holbrook","NY","11741",,"<div class=""ExternalClassA9F82119B1E54F498568149BB09F15F6""><div style=""color&#58;#000000;"">Marc Johnson</div>
<div style=""color&#58;#000000;""><span><span><span>Phone&#58; 631-439-4600</span></span></span></div>
<div style=""color&#58;#000000;""><span><span><span><span>Email&#58; <a href=""mailto&#58;mjohnson@americanportfolios.com"">mjohnson@americanportfolios.com</a></span></span></span></span></div>
<div><span style=""color&#58;blue;""><span><span><span style=""color&#58;#000000;""></span><span style=""text-decoration&#58;underline;"">​</span></span></span></span></div></div>","<div class=""ExternalClass8150031A98554CEDBF79F7E4FFE1F7D2""><div>Martin Wendel</div>
<div>Phone (631) 439-4600</div>
<div><div>Email&#58; <span style=""color&#58;lightblue;text-decoration&#58;underline;""><span style=""color&#58;blue;text-decoration&#58;underline;"">mwendel@americanportfolios.com</span> </span></div></div>
<div>​</div></div>","<div class=""ExternalClassC6B0ABB3973D4E958CA0954258B45CF4""><div>Russ Kerstein</div>
<div>Phone&#58; (631) 439-4600</div>
<div>Email&#58;<a href=""mailto&#58;rkerstein@americanportfolios.com"" style=""color&#58;blue;text-decoration&#58;underline;"">rkerstein@americanportfolios.com</a></div>
<div>&#160;</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4793657&objAction=browse&viewType=1, American Portfolio Investments Services Fee Payment Folder",,,"AMERICAN PORTFOLIOS FINAN SERV
4250 VETERANS MEMORIAL HWY
4TH FLOOR EAST
HOLBROOK, NY 11741-4000 ​   ","http://harborware/livelink/llisapi.dll?func=ll&objId=4793652&objAction=browse&viewType=1, Operations Questionnaire","Dividend - Daily, Financial Activity - Daily, Position - 2nd and 4th Friday","NSCC","Omnibus","N/A","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/american_portfolios/, Site","<div class=""ExternalClassD3FD99E266A94340B8856C6DDEFBB38A""><html>
  <p>​<span id=""ms-rterangepaste-start""></span>For large trade reporting purposese this dealer self-clears but is also a Pershing Correspondent.&#160; <span id=""ms-rterangepaste-end""></span></p>
</html></div>","<div class=""ExternalClassE69D5F79E3024E09B4A86CD4A15DC668""><html>
  <div>
<br>&#160; 
<br></br></br></div>
</html></div>",,"False",,"4250 VETERANS MEMORIAL HIGHWAY
4TH FLOOR EAST
HOLBROOK, NY  11741",75,"No","No",,,41,107,"2016-03-03 15:52:37","2011-09-26 16:57:41",,,"$",,,,,8
"Barclay's Capital Inc LE","0229","2000-10-27 00:00:00","2016-11-11 00:00:00","06-1031656","LH","19714","201-499-6510","646-834-2393","70 Hudson Street, Mutual Fund Operations, 7th Floor","Jersey City","NJ","07302",,"<div class=""ExternalClass01A7C9EDC0A24B918F7A1CD5DB945295""><div>Anthony C Rini</div>
<div>Phone&#58; 201-499-6510</div>
<div>Email&#58; &#160;<a href=""mailto&#58;anthony.rini@barclayscapital.com""><font color=""#0072bc"">anthony.rini@barclayscapital.com</font></a></div></div>","<div class=""ExternalClass4D8BC50087C14544A1D8FE50E8A80968""><div>Olindo Cozza</div>
<div><div>Phone&#58; 201-499-6510</div></div>
<div>Email&#58; <a href=""mailto&#58;olindo.cozza@barclayscapital.com"">olindo.cozza@barclayscapital.com</a></div></div>","<div class=""ExternalClassE88E42A6C0074B76BC339D4A28EC3C68""><div>Brian Wing</div>
<div>Phone&#58; 201-499-6510</div>
<div>Email&#58;brian.wing@barclayscapital.com</div>
<div>​</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794017&objAction=browse&viewType=1, Barclays Capital Inc-LE Fee Payment Folder",,,"New York
200 Park Avenue
New York NY 10166-0005​","http://harborware/livelink/llisapi.dll?func=ll&objId=4794012&objAction=browse&viewType=1, Barclays Capital Inc-LE","Dividend- Daily, Financial- Daily, Account Position- Daily","NSCC","Broken Out","N/A","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/barclays_capital/default.aspx, Site",,,,"False",,"745 7TH AVENUE
NEW YORK, NY  10019",75,"No","No",,,41,105,"2017-01-03 13:19:29","2011-09-26 16:59:01",,"True","$",,,,,9
"H Beck Inc","0731","2007-01-02 00:00:00",,"52-1321340",,"1763","(301) 468-0100","(301) 468-1114","1114 Rockville Pike 4th Floor","Rockville","MD","20852",,"<div class=""ExternalClass208541915B754F8DB9305E15A5EF6F9D""><div>​</div></div>",,"<div class=""ExternalClass21E40DF09A3049F2B58C24FE55FAEE90""><div>Don Butler</div>
<div><div>Phone&#58; 468-0100 X1382</div></div>
<div>Email&#58;<a href=""mailto&#58;dbutler@cfginc.bom"">dbutler@cfginc.bom</a></div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4794057&objAction=browse&viewType=1, Beck (H) Fee Payment Folder",,,"1114 ROCKVILLE PIKE
4TH FLOOR
ROCKVILLE, MD 20852-1408 ​   ","http://harborware/livelink/llisapi.dll?func=ll&objId=4794052&objAction=browse&viewType=1, Beck (H) Contact Information","Dividend- Daily, Financial- Daily, Account Position- Fridays, Dec Month End","NSCC","Omnibus","No","Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/beck_inc/, Site","<div class=""ExternalClassD97BC9FA29AF41A79C1FAA8C21C421E7""><html>
 
<span id=""ms-rterangepaste-start""></span>For large trade reporting purposese this dealer self-clears but is also a Pershing Correspondent.&#160; <span id=""ms-rterangepaste-end""></span></html></div>",,,"False",,"6600 ROCKLEDGE DRIVE
6TH FLOOR
BETHESDA, MD  20817",75,"No","No",,,41,423,"2018-02-09 16:34:54","2011-09-26 16:59:57",,,"$",,,,,10
"Benefit Plans Administrative Services","709157","2010-04-29 00:00:00",,"16-1616474",,,"713-744-3839",,"820 Gessner Rd Suite 1250 Attn Kathy Harvey","Houston","TX","77024","TPA 709157 is used to remit Sub TA Payments.
BPA doesn't receive 12b1 payments and therefore the corresponding dealer numbers are inactive.","<div class=""ExternalClass7D310E203DAE4EA8B0F9EF7FD4D4AED5""><div>Amy Mulligan</div>
<div>Phone&#58;315-292-6961</div>
<div>Email&#58; <a href=""mailto&#58;AMULLIGAN@BPAS.COM"">AMULLIGAN@BPAS.COM</a>​</div></div>","<div class=""ExternalClass4844B95868C442DBA82016381D1875CD""><p>Amy Mulligan<br>Phone&#58;315-292-6961<br>Email&#58;AMULLIGAN@BPAS.COM</p></div>","<div class=""ExternalClass8481B26BECF741539C08463DD99A91C7""><div>Laurie Swierat</div>
<div>Phone&#58; 315-292-6928</div>
<div>Email&#58; <a href=""mailto&#58;Lswierat@bpas.com"">Lswierat@bpas.com</a>​</div></div>",,"Yes","http://harborware/livelink/llisapi.dll?func=ll&objId=4763316&objAction=browse&viewType=1, Fee Payment Folder",,"<div class=""ExternalClass12B018F02E014B33BE9979B049206892""><html>
  <div class=""ExternalClass0F69DCE1018A46728917A1A60FD0F6E4"">
    <div>​</div>
  </div>
</html></div>","Benefit Plans Administrative Services
6 RHOADS DRST 7
UTICA, NY 13502-6317​","http://harborware/livelink/llisapi.dll?func=ll&objId=4763311&objAction=browse&viewType=1, Benefit Plans Administrative Services Contact Information",,"NSCC via Community Bank","Omnibus",,"Yes",,,,,,,"No","https://harborcapitaladvisors.sharepoint.com/sites/pwa/Rollup/Intermediary/benefit_plans_administrative_services/, Site",,,,"False","Community Bank
ABA: 021307559
DDA: 0311122204
Benefit Plans Administrative Services Inc",,12,"No","Yes",,,41,142,"2016-10-25 15:48:34","2011-09-15 12:24:20",,,"$",,"True",,,11
