ORIG_GP_KEY,TRGT_FUND_KEY,FUND_KEY,TRGT_YR,EFFTV_STRT_DT,EFFTV_END_DT,GP_WGT,CURR_ROW_FLG,ROW_STRT_DTTM,ROW_STOP_DTTM,ETL_LOAD_CYC_KEY,SRC_SYS_ID
417,61,8,2013.0,2016-01-06 00:00:00,2017-01-29 00:00:00,0.03465,Y,2017-06-14 11:09:58,,,
418,61,8,2014.0,2015-01-20 00:00:00,2016-01-05 00:00:00,0.0357,Y,2017-06-14 11:09:58,,,
419,61,8,2015.0,2014-01-07 00:00:00,2015-01-19 00:00:00,0.03675,Y,2017-06-14 11:09:58,,,
420,61,8,2016.0,2013-01-01 00:00:00,2014-01-06 00:00:00,0.0378,Y,2017-06-14 11:09:58,,,
421,61,8,2017.0,2012-01-01 00:00:00,2012-12-31 00:00:00,0.03885,Y,2017-06-14 11:09:58,,,
422,61,8,2018.0,2011-01-06 00:00:00,2011-12-31 00:00:00,0.0399,Y,2017-06-14 11:09:58,,,
423,61,8,2019.0,2010-01-01 00:00:00,2011-01-05 00:00:00,0.04095,Y,2017-06-14 11:09:58,,,
424,61,8,2020.0,2009-01-02 00:00:00,2009-12-31 00:00:00,0.042,Y,2017-06-14 11:09:58,,,
425,61,39,2005.0,,,0.0235,Y,2017-06-14 11:09:58,,,
426,61,39,2006.0,,,0.03008,Y,2017-06-14 11:09:58,,,
427,61,39,2007.0,,,0.03666,Y,2017-06-14 11:09:58,,,
428,61,39,2008.0,,,0.04324,Y,2017-06-14 11:09:58,,,
429,61,39,2009.0,,,0.04982,Y,2017-06-14 11:09:58,,,
430,61,39,2010.0,,,0.0564,Y,2017-06-14 11:09:58,,,
431,61,39,2011.0,,,0.0611,Y,2017-06-14 11:09:58,,,
432,61,39,2012.0,2017-01-30 00:00:00,2018-02-01 00:00:00,0.0658,Y,2017-06-14 11:09:58,,,
433,61,39,2013.0,2016-01-06 00:00:00,2017-01-29 00:00:00,0.0705,Y,2017-06-14 11:09:58,,,
434,61,39,2014.0,2015-01-20 00:00:00,2016-01-05 00:00:00,0.0752,Y,2017-06-14 11:09:58,,,
435,61,39,2015.0,2014-01-07 00:00:00,2015-01-19 00:00:00,0.0799,Y,2017-06-14 11:09:58,,,
436,61,39,2016.0,2013-01-01 00:00:00,2014-01-06 00:00:00,0.08232,Y,2017-06-14 11:09:58,,,
437,61,39,2017.0,2012-01-01 00:00:00,2012-12-31 00:00:00,0.08474,Y,2017-06-14 11:09:58,,,
438,61,39,2018.0,2011-01-06 00:00:00,2011-12-31 00:00:00,0.08716,Y,2017-06-14 11:09:58,,,
439,61,39,2019.0,2010-01-01 00:00:00,2011-01-05 00:00:00,0.08958,Y,2017-06-14 11:09:58,,,
440,61,39,2020.0,2009-01-02 00:00:00,2009-12-31 00:00:00,0.092,Y,2017-06-14 11:09:58,,,
441,61,5,2005.0,,,0.3055,Y,2017-06-14 11:09:58,,,
442,61,5,2006.0,,,0.30456,Y,2017-06-14 11:09:58,,,
443,64,5,2007.0,,,0.30362,Y,2017-06-14 11:09:58,,,
444,64,5,2008.0,,,0.30268,Y,2017-06-14 11:09:58,,,
445,64,5,2009.0,,,0.30174,Y,2017-06-14 11:09:58,,,
446,64,5,2010.0,,,0.3008,Y,2017-06-14 11:09:58,,,
447,64,5,2011.0,,,0.29986,Y,2017-06-14 11:09:58,,,
448,64,5,2012.0,,,0.29892,Y,2017-06-14 11:09:58,,,
449,64,5,2013.0,,,0.29798,Y,2017-06-14 11:09:58,,,
450,64,5,2014.0,,,0.29704,Y,2017-06-14 11:09:58,,,
451,64,5,2015.0,,,0.2961,Y,2017-06-14 11:09:58,,,
452,64,5,2016.0,,,0.29484,Y,2017-06-14 11:09:58,,,
453,64,5,2017.0,2017-01-30 00:00:00,2018-02-01 00:00:00,0.29358,Y,2017-06-14 11:09:58,,,
454,64,5,2018.0,2016-01-06 00:00:00,2017-01-29 00:00:00,0.29232,Y,2017-06-14 11:09:58,,,
455,64,5,2019.0,2015-01-20 00:00:00,2016-01-05 00:00:00,0.29106,Y,2017-06-14 11:09:58,,,
456,64,5,2020.0,2014-01-07 00:00:00,2015-01-19 00:00:00,0.2898,Y,2017-06-14 11:09:58,,,
457,64,5,2021.0,2013-01-01 00:00:00,2014-01-06 00:00:00,0.28224,Y,2017-06-14 11:09:58,,,
