DLR_KEY,DLR_TOP_LVL,DLR_TOP_LVL_DESC,DLR_GRP_ID,DLR_GRP_NM,DLR_ID,BRANCH_ESTB_DT,BRANCH_CLOSED_DT,SELLG_AGRMT_RQRD_FLG,SELLG_AGRMT_12B1_FLG,PAYOUT_FREQ_CD,PAYOUT_FREQ_DESC,STMT_FREQ_CD,STMT_FREQ_DESC,RECV_12B1_TAPE_FLG,AUTO_DIVD_CHK_FLG,WIRE_INCL_ACCRL_FLG,SIPC_INSD_FLG,DLR_FDIC_SELL_FLG,SEC_ID,MBR_SHIP_TYPE_CD,MBR_SHIP_TYPE,INVAL_REP_HNDLG_CD,INVAL_REP_HNDLG_DESC,INVMT_SLIP_ADDR_CD,INVMT_SLIP_ADDR,TRSTE_DFLT_DLR_ID,GRP_SALES_CHNL_ID,GRP_FINCL_INST_ID,DIVD_CONFIRM_SPRSN_FLG,DAILY_CONFIRM_SPRSN_FLG,ONLN_INVAL_REP_HNDLG_FLG,DLR_REP_ST_LIC_VLDN_FLG,DLR_INVAL_REP_ST_LIC_ACTN_FLG,NASD_REGSTN_VLDN_LIC_FLG,INVAL_REP_NASD_REGSTR_FLG,DLR_NM,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,ADDR_LINE_4,CITY_NM,ST,POSTL_ZIP_CD,CRTY,ROW_STRT_DTTM,ROW_STOP_DTTM,CURR_ROW_FLG,ETL_LOAD_CYC_KEY,SRC_SYS_ID,SPR_ONBS_FLG,ONBS_FLG,INTRL_CNTL_DOC_DT,LTST_CNTL_AUDT_RECPT_DT,INACTV_DT,ACTV_FLG
394,All,All Dealers,06,CHARLES SCHWAB,164,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,164.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,CHARLES SCHWAB & CO INC,211 MAIN ST,,,,SAN FRANCISCO,CA,94105.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,Y,N,2011-08-10 00:00:00,2014-02-14 00:00:00,,Y
395,All,All Dealers,00,TD AMERITRADE CLEARING INC,188,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,188.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,TD AMERITRADE CLEARING INC,200 S 108TH AVE,,,,OMAHA,NE,68154.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,Y,Y,2011-08-10 00:00:00,,,Y
396,All,All Dealers,00,PEOPLES SECURITIES INC,220,2008-12-12 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,220.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,PEOPLES SECURITIES INC,850 MAIN ST 2ND FLOOR,,,,BRIDGEPORT,CT,6604.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-08-02 00:00:00,,,Y
397,All,All Dealers,,HAZLETT BURT & WATSON INC,252,2002-05-25 00:00:00,2019-10-07 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,252.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,HAZLETT BURT & WATSON INC,1300 CHAPLINE,,,,WHEELING,WV,26003.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
398,All,All Dealers,64,U.S. BANCORP INVESTMENTS INC.,280,2002-05-25 00:00:00,2015-03-03 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,280.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,US BANCORP INVESTMENTS INC,60 LIVINGSTON AVE,EP-MN-WN2M,,,SAINT PAUL,MN,55107.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-07-31 00:00:00,,,Y
399,All,All Dealers,03,BNY MELLON,440,2002-11-21 00:00:00,2015-12-16 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,440.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,BNY MELLON DISTRIBUTORS INC,1700 WEST 82ND ST STE 125,,,,BLOOMINGTON,MN,55431.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
400,All,All Dealers,00,NATIONAL SECURITIES CORP,488,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,488.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,NATIONAL SECURITIES CORP,ONE UNION SQUARE,600 UNIVERSITY ST STE 2900,,,SEATTLE,WA,98101.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,N,N,2012-08-15 00:00:00,,,Y
401,All,All Dealers,03,BNY MELLON,592,2002-05-25 00:00:00,,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,592.0,0,Broker,R,Reject,Z,No investment slip is included,0.0,,0.0,Y,Y,B,N,Z,N,Z,BNY MELLON DISTRIBUTORS INC,211 S GULPH RD,,,,KING OF PRUSSIA,PA,19406.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,U,U,2013-10-30 00:00:00,,,Y
402,All,All Dealers,,HSBC SECURITIES (USA) INC,816,2003-08-27 00:00:00,2018-10-17 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,816.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,HSBC SECURITIES (USA) INC,DEFAULT,,,,NEW YORK,NY,10018.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
403,All,All Dealers,,ROMANO BROTHERS,8065,2006-06-22 00:00:00,2013-09-26 00:00:00,Y,Y,M,Monthly,ZZ,Not Applicable,N,Y,Y,Z,Z,8065.0,0,Broker,D,Default,Z,No investment slip is included,0.0,,0.0,Y,Y,G,N,Z,N,Z,ROMANO BROTHERS,1560 SHERMAN,STE 1300,,,EVANSTON,IL,60201.0,UNITED STATES,2020-02-25 02:21:27,,Y,426910.0,4,,,,,,Y
