FUND_VLTN_KEY,FUND_KEY,DAY_KEY,NAV_AMT,TOT_SHRS,PR_PER_SHR,WLTH_IDX,ASOF_PR,DAILY_PR_DIFF,ASOF_WLTH_IDX,HSG_PR_REVS,CURR_ROW_FLG,ROW_STRT_DTTM,ROW_STOP_DTTM,ETL_LOAD_CYC_KEY,SRC_SYS_ID
1027817,110,14633,26628206.12,2095596.336,12.71,1.3954444153805898,12.71,-0.07,1.3954444153805898,,Y,2020-01-23 17:22:30,,424623,4
1027818,125,14633,116560904.53,4844616.551,24.06,3.14404370898932,24.06,-0.02,3.14404370898932,,Y,2020-01-23 17:22:30,,424623,4
1027819,133,14633,79452924.19,8037539.589,9.89,1.10504928953968,9.89,-0.02,1.10504928953968,,Y,2020-01-23 17:22:30,,424623,4
1027820,139,14633,82393005.43,7791063.526,10.58,1.11514281431555,10.58,0.02,1.11514281431555,,Y,2020-01-23 17:22:30,,424623,4
1027821,141,14633,14155617.36,1306157.103,10.84,1.11069783804143,10.84,-0.02,1.11069783804143,,Y,2020-01-23 17:22:30,,424623,4
1027822,144,14633,14797065.5,1305827.295,11.33,1.13955031616983,11.33,-0.07,1.13955031616983,,Y,2020-01-23 17:22:30,,424623,4
1027823,150,14633,5124170.31,480638.73,10.66,1.0665522025316498,10.66,0.05,1.0665522025316498,,Y,2020-01-23 17:22:30,,424623,4
1027824,15,14633,484563.54,36917.825,13.13,6.35122256610801,13.13,-0.01,6.35122256610801,,Y,2020-01-23 17:22:30,,424623,4
1027825,16,14633,65960812.53,1635505.278,40.33,4.01277833120259,40.33,-0.15,4.01277833120259,,Y,2020-01-23 17:22:30,,424623,4
1027826,17,14633,385293387.0,4892917.48,78.75,6.378651896422159,78.75,0.11,6.378651896422159,,Y,2020-01-23 17:22:30,,424623,4
1027827,18,14633,12958114.69,732535.287,17.69,4.89762627734208,17.69,0.05,4.89762627734208,,Y,2020-01-23 17:22:30,,424623,4
1027828,19,14633,18462970.06,1558626.396,11.85,2.23081110883756,11.85,0.03,2.23081110883756,,Y,2020-01-23 17:22:30,,424623,4
1027829,20,14633,3365034.16,3365034.175,1.0,1.22086400225662,1.0,0.0,1.22086400225662,,Y,2020-01-23 17:22:30,,424623,4
1027830,22,14633,417539.99,24175.483,17.27,3.10139785526058,17.27,-0.07,3.10139785526058,,Y,2020-01-23 17:22:30,,424623,4
1027831,23,14633,2930013.76,316816.444,9.25,7.423551411160219,9.25,-0.01,7.40562012755838,,Y,2020-01-23 17:22:30,,424623,4
1027832,25,14633,7654888.45,216848.065,35.3,5.79890193996447,35.3,0.07,5.79890193996447,,Y,2020-01-23 17:22:30,,424623,4
1027833,26,14633,16765409.87,777183.973,21.57,4.313049522188759,21.57,0.09,4.313049522188759,,Y,2020-01-23 17:22:30,,424623,4
1027834,40,14633,687240.52,68795.962,9.99,2.98401245436457,9.99,-0.02,2.98401245436457,,Y,2020-01-23 17:22:30,,424623,4
1027835,84,14633,2392868.34,75652.864,31.63,5.901798843296519,31.63,0.08,5.901798843296519,,Y,2020-01-23 17:22:30,,424623,4
1027836,92,14633,62892.41,5630.211,11.17,1.62489263108532,11.17,0.0,1.62489263108532,,Y,2020-01-23 17:22:30,,424623,4
1027837,95,14633,6379.16,531.792,12.0,1.2387268835474,12.0,-0.09,1.2387268835474,,Y,2020-01-23 17:22:30,,424623,4
1027838,98,14633,1878205.95,174084.515,10.79,1.59927548222382,10.79,0.01,1.59927548222382,,Y,2020-01-23 17:22:30,,424623,4
1027839,104,14633,7326533.27,629167.043,11.64,1.28819117683239,11.64,-0.05,1.28819117683239,,Y,2020-01-23 17:22:30,,424623,4
1027840,108,14633,372543.37,29347.567,12.69,1.3800351426523998,12.69,-0.08,1.3800351426523998,,Y,2020-01-23 17:22:30,,424623,4
1027841,127,14633,19904.38,827.649,24.05,1.5245096717373399,24.05,-0.02,1.5245096717373399,,Y,2020-01-23 17:22:30,,424623,4
1027842,135,14633,157208.57,15908.546,9.88,1.0984547939839,9.88,-0.02,1.0984547939839,,Y,2020-01-23 17:22:30,,424623,4
1027843,153,14633,1569889.7,149865.361,10.48,1.05010742517344,10.48,0.07,1.05010742517344,,Y,2020-01-23 17:22:30,,424623,4
1027844,162,14633,1553103.88,148599.622,10.45,1.0456325269343798,10.45,0.01,1.0456325269343798,,Y,2020-01-23 17:22:30,,424623,4
1027845,156,14633,1658894.2,158615.943,10.46,1.0473544358974398,10.46,0.04,1.0473544358974398,,Y,2020-01-23 17:22:30,,424623,4
1027846,165,14633,1587377.02,148856.428,10.66,1.06849075,10.66,-0.07,1.06849075,,Y,2020-01-23 17:22:30,,424623,4
1027847,159,14633,1647152.33,153922.523,10.7,1.0734211302682,10.7,-0.1,1.0734211302682,,Y,2020-01-23 17:22:30,,424623,4
1027848,152,14633,41548.48,3967.587,10.47,1.04878788999009,10.47,0.06,1.04878788999009,,Y,2020-01-23 17:22:30,,424623,4
1027849,161,14633,31357.42,3000.917,10.45,1.0453193339862898,10.45,0.01,1.0453193339862898,,Y,2020-01-23 17:22:30,,424623,4
