COMPST_FUND_ID,SHR_CLS_CD,SHR_CLS_DESC,FUND_NM,FUND_LONG_DESC,FUND_ABRV,FUND_STAT_CD,FUND_STAT_DESC,FUND_INCPN_DT,FUND_CLOS_DT,FUND_NBR,FUND_SORT_ORD,ADDR_ID,CUSIP_ID,QUOT_SYM,ST_STR_FUND_NBR,TAX_ID,RSK_LVL,DIVD_FREQ_CD,DIVD_FREQ_DESC,CAP_GAIN_FREQ_CD,CAP_GAIN_FREQ_DESC,REG_ACCT_INIT_INVMT,IRA_ACCT_INIT_INVMT,UGMA_ACCT_INIT_INVMT,PERF_INCPN_DT
12,0,Institutional Class,Global Equity Fund,Global Equity Fund - Institutional Class,Global Eq.,R,RETIRED,2/1/2001,7/31/2003,2021,1,10003,411511850,HAGEX   ,GB26,347128192,25,A,Annually,A,Annually,100000,100000,100000,2/1/2001
12,2,Administrative Class,Global Equity Fund,Global Equity Fund - Administrative Class,Global Eq-A,R,RETIRED,11/1/2002,7/31/2003,2221,2,10003,411511611,HRGEX   ,GB26,347128192,25,A,Annually,A,Annually,0,0,0,11/1/2002
12,1,Investor Class,Global Equity Fund,Global Equity Fund - Investor Class,Global Eq - Inv,R,RETIRED,11/1/2002,7/31/2003,2421,3,10003,411511595,HIGEX   ,GB26,347128192,25,A,Annually,A,Annually,2500,1000,1000,11/1/2002
3,0,Institutional Class,Capital Appreciation Fund,Capital Appreciation Fund - Institutional Class,Cap. App.,O,OPEN,12/29/1987,,2012,4,10003,411511504,HACAX   ,GB02,341572115,30,A,Annually,A,Annually,50000,50000,50000,12/29/1987
3,3,Retirement Class,Capital Appreciation Fund,Capital Appreciation Fund - Retirement Class,Cap. App. - Ret,O,OPEN,3/1/2016,,2512,5,10003,411512528,HNACX   ,GB02,341572115,,A,Annually,A,Annually,0,,,12/29/1987
3,2,Administrative Class,Capital Appreciation Fund,Capital Appreciation Fund - Administrative Class,Cap App-A,O,OPEN,11/1/2002,,2212,6,10003,411511827,HRCAX   ,GB02,341572115,30,A,Annually,A,Annually,50000,0,0,11/1/2002
3,1,Investor Class,Capital Appreciation Fund,Capital Appreciation Fund - Investor Class,Cap App - Inv,O,OPEN,11/1/2002,,2412,7,10003,411511819,HCAIX   ,GB02,341572115,30,A,Annually,A,Annually,2500,1000,1000,11/1/2002
45,0,Institutional Class,Strategic Growth Fund,Strategic Growth Fund - Institutional Class,Str Grth - Inst,O,OPEN,11/1/2011,,2040,8,10003,411512353,MVSGX   ,GB46,815103876,,A,Annually,A,Annually,50000,50000,50000,11/1/2011
45,3,Retirement Class,Strategic Growth Fund,Strategic Growth Fund - Retirement Class,Str Grth - Ret,O,OPEN,3/6/2017,,2540,9,10003,411512346,HNGSX   ,GB46,815103876,,A,Annually,A,Annually,0,,,3/6/2017
45,2,Administrative Class,Strategic Growth Fund,Strategic Growth Fund - Administrative Class,Str Grth - Adm,O,OPEN,3/6/2017,,2240,10,10003,411512338,HSRGX   ,GB46,815103876,,A,Annually,A,Annually,50000,50000,50000,3/6/2017
45,1,Investor Class,Strategic Growth Fund,Strategic Growth Fund - Investor Class,Str Grth - Inv,O,OPEN,3/6/2017,,2440,11,10003,411512361,HISWX   ,GB46,815103876,,A,Annually,A,Annually,2500,1000,1000,3/6/2017
10,0,Institutional Class,Mid Cap Growth Fund,Mid Cap Growth Fund - Institutional Class,Mid Cap Grwth.,O,OPEN,11/1/2000,,2019,12,10003,411511876,HAMGX   ,GB24,341931837,5,A,Annually,A,Annually,50000,50000,50000,11/1/2000
10,3,Retirement Class,Mid Cap Growth Fund,Mid Cap Growth Fund - Retirement Class,Mid Cap Grwth. - Ret,O,OPEN,3/1/2016,,2519,13,10003,411512510,HNMGX   ,GB24,341931837,,A,Annually,A,Annually,0,,,11/1/2000
10,2,Administrative Class,Mid Cap Growth Fund,Mid Cap Growth Fund - Administrative Class,Mid Cap Gr-A,O,OPEN,11/1/2002,,2219,14,10003,411511793,HRMGX   ,GB24,341931837,5,A,Annually,A,Annually,50000,0,0,11/1/2002
10,1,Investor Class,Mid Cap Growth Fund,Mid Cap Growth Fund - Investor Class,Mid Cap Gr - In,O,OPEN,11/1/2002,,2419,15,10003,411511785,HIMGX   ,GB24,341931837,5,A,Annually,A,Annually,2500,1000,1000,11/1/2002
1,0,Institutional Class,Growth Fund,Growth Fund - Institutional Class,Growth,M,MERGED,11/19/1986,10/31/2002,2000,16,10003,411511207,HAGWX   ,GB00,346864487,100,A,Annually,A,Annually,1000,500,500,11/19/1986
11,0,Institutional Class,Small Cap Growth Fund,Small Cap Growth Fund - Institutional Class,Sm Cap Grwth.,S,SOFT CLOSE,11/1/2000,,2010,17,10003,411511868,HASGX   ,GB25,346864487,10,A,Annually,A,Annually,50000,50000,50000,11/1/2000
11,3,Retirement Class,Small Cap Growth Fund,Small Cap Growth Fund - Retirement Class,Sm Cap Grwth. - Ret,S,SOFT CLOSE,3/1/2016,,2510,18,10003,411512494,HNSGX   ,GB25,346864487,,A,Annually,A,Annually,0,,,11/1/2000
11,2,Administrative Class,Small Cap Growth Fund,Small Cap Growth Fund - Administrative Class,Sm Cap Gr-A,S,SOFT CLOSE,11/1/2002,,2210,19,10003,411511769,HRSGX   ,GB25,346864487,10,A,Annually,A,Annually,50000,0,0,11/1/2002
11,1,Investor Class,Small Cap Growth Fund,Small Cap Growth Fund - Investor Class,Sm Cap Gr - Inv,S,SOFT CLOSE,11/1/2002,,2410,20,10003,411511777,HISGX   ,GB25,346864487,10,A,Annually,A,Annually,2500,1000,1000,11/1/2002
41,0,Institutional Class,Small Cap Growth Opportunities Fund,Small Cap Growth Opportunities Fund - Institutional Class,Sm Cap Gr Opp - I ,O,OPEN,2/1/2014,,2037,21,10003,411512668,HASOX   ,GB43,464147580,10,A,Annually,A,Annually,50000,50000,50000,2/1/2014
41,3,Retirement Class,Small Cap Growth Opportunities Fund,Small Cap Growth Opportunities Fund - Retirement Class,Sm Cap Gr Opp - Ret ,O,OPEN,3/1/2016,,2537,22,10003,411512486,HNSOX   ,GB43,464147580,,A,Annually,A,Annually,0,,,2/1/2014
41,2,Administrative Class,Small Cap Growth Opportunities Fund,Small Cap Growth Opportunities Fund - Administrative Class,Sm Cap Gr Opp - Adm,O,OPEN,2/1/2014,,2237,23,10003,411512650,HRSOX   ,GB43,464147580,10,A,Annually,A,Annually,50000,50000,50000,2/1/2014
41,1,Investor Class,Small Cap Growth Opportunities Fund,Small Cap Growth Opportunities Fund - Investor Class,Sm Cap Gr Opp - Inv,O,OPEN,2/1/2014,,2437,24,10003,411512643,HISOX   ,GB43,464147580,10,A,Annually,A,Annually,2500,1000,1000,2/1/2014
17,0,Institutional Class,Small Company Growth Fund,Small Company Growth Fund - Institutional Class,Sm Comp Gr,R,RETIRED,2/1/2006,10/30/2009,2026,25,10003,411511496,HGSCX   ,GB31,204056559,7,A,Annually,A,Annually,50000,50000,50000,2/1/2006
17,2,Administrative Class,Small Company Growth Fund,Small Company Growth Fund - Administrative Class,Sm Comp-A,R,RETIRED,2/1/2006,10/30/2009,2226,26,10003,411511470,HSGRX   ,GB31,204056559,7,A,Annually,A,Annually,0,0,0,2/1/2006
17,1,Investor Class,Small Company Growth Fund,Small Company Growth Fund - Investor Class,Sm Comp-I,R,RETIRED,2/1/2006,10/30/2009,2426,27,10003,411511488,HSGIX   ,GB31,204056559,7,A,Annually,A,Annually,2500,1000,1000,2/1/2006
4,0,Institutional Class,Large Cap Value Fund,Large Cap Value Fund - Institutional Class,Lg Cap Value,O,OPEN,12/29/1987,,2013,28,10003,411511603,HAVLX   ,GB03,341570877,60,S,Semi Annually,A,Annually,50000,50000,50000,12/29/1987
4,3,Retirement Class,Large Cap Value Fund,Large Cap Value Fund - Retirement Class,Lg Cap Value - Ret,O,OPEN,3/1/2016,,2513,29,10003,411512478,HNLVX   ,GB03,341570877,,S,Semi Annually,A,Annually,0,,,12/29/1987
4,2,Administrative Class,Large Cap Value Fund,Large Cap Value Fund - Administrative Class,Lg Cap Val-A,O,OPEN,11/1/2002,,2213,30,10003,411511751,HRLVX   ,GB03,341570877,60,S,Semi Annually,A,Annually,50000,0,0,11/1/2002
4,1,Investor Class,Large Cap Value Fund,Large Cap Value Fund - Investor Class,Lg Cap Val - In,O,OPEN,11/1/2002,,2413,31,10003,411511744,HILVX   ,GB03,341570877,60,S,Semi Annually,A,Annually,2500,1000,1000,11/1/2002
