FUND_COMPST_KEY,ALL_COMPST_CD,ALL_COMPST_DESC,ASSET_CLS_NM,ASSET_CLS_DESC,SUB_CLS_NM,SUB_CLS_DESC,STYL_NM,STYL_DESC,COMPST_CD,COMPST_NM,PERF_CD,PERF_NM,COMPST_ORD,COMPST_STAT_CD,COMPST_STAT_DESC,ROW_STRT_DTTM,ROW_STOP_DTTM,CURR_ROW_FLG,ETL_LOAD_CYC_KEY,SRC_SYS_ID,COMPST_SRC_ID,FUND_STYL,RISK_RET_ORD,COMPST_INCPN_DT,SALES_CAT,ST_STR_FUND_NBR,INVMT_VEH,INVMT_ADVSR,INVMT_RLTN_TYPE,PROD_NM,INVMT_CAT
34,All,All Composites,Fixed Income,Fixed Income Funds,Emerging Markets Debt,Emerging Markets Debt,Fixed Income,Fixed Income,39,Emerging Markets Debt Fund,PRCDIV,Performance includes daily accrual income and price performance.,36,R,Retired,2020-02-25 02:20:58,,Y,426907,4,35,EMERGING MARKETS DEBT,190.0,2011-05-01 00:00:00,,GB41,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Emerging Markets Debt Fund,
35,All,All Composites,Fixed Income,Fixed Income Funds,Convertible Securities,Convertible Securities,Fixed Income,Fixed Income,38,Convertible Securities Fund,PRCDIV,Performance includes daily accrual income and price performance.,34,O,Open,2020-02-25 02:20:58,,Y,426907,4,34,CONVERTIBLE SECURITIES,180.0,2011-05-01 00:00:00,Promote,GB40,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Convertible Securities Fund,Fixed Income
2,All,All Composites,International and Global,International and Global Funds,International,International,Equity,Equity,2,International Fund,PRCDIV,Performance includes daily accrual income and price performance.,25,O,Open,2020-02-25 02:20:58,,Y,426907,4,11,LARGE VALUE,80.0,1987-12-29 00:00:00,Protect,GB01,Mutual Funds,Harbor Capital Advisors,Internal,Harbor International Fund,International And Multi Assets
3,All,All Composites,Domestic,Domestic Equity Funds,Growth,Growth,Equity,Equity,3,Capital Appreciation Fund,PRCDIV,Performance includes daily accrual income and price performance.,1,O,Open,2020-02-25 02:20:58,,Y,426907,4,12,LARGE GROWTH,50.0,1987-12-29 00:00:00,Protect,GB02,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Capital Appreciation Fund,Growth and Innovation
4,All,All Composites,Domestic,Domestic Equity Funds,Value,Value,Equity,Equity,4,Large Cap Value Fund,PRCDIV,Performance includes daily accrual income and price performance.,3,O,Open,2020-02-25 02:20:58,,Y,426907,4,13,LARGE VALUE,10.0,1987-12-29 00:00:00,Promote,GB03,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Large Cap Value Fund,Value and Alternative Return Streams 
6,All,All Composites,Fixed Income,Fixed Income Funds,Money Market,Money Market,Short-Term Investments,Short-Term Investments,6,Money Market Fund,INTRTE,Performance is based strictly on accrual income as price never changes.,39,O,Open,2020-02-25 02:20:58,,Y,426907,4,15,MONEY MARKET,140.0,1987-12-29 00:00:00,Protect,GB05,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Money Market Fund,Fixed Income
7,All,All Composites,Fixed Income,Fixed Income Funds,Short-term Bonds,Short-term Bonds,Fixed Income,Fixed Income,7,Short Duration Fund,PRCDIV,Performance includes daily accrual income and price performance.,41,R,Retired,2020-02-25 02:20:58,,Y,426907,4,16,SHORT TERM,,1992-01-01 00:00:00,,GB06,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Short Duration Fund,
9,All,All Composites,Domestic,Domestic Equity Funds,Domestic,Domestic Equity Funds,Equity,Equity,9,International Fund II,PRCDIV,Performance includes daily accrual income and price performance.,26,M,Merged,2020-02-25 02:20:58,,Y,426907,4,18,,,1996-06-01 00:00:00,,GB14,Mutual Funds,Harbor Capital Advisors,Internal,Harbor International Fund II,
11,All,All Composites,Domestic,Domestic Equity Funds,Growth,Growth,Equity,Equity,11,Small Cap Growth Fund,PRCDIV,Performance includes daily accrual income and price performance.,7,S,Soft Close,2020-02-25 02:20:58,,Y,426907,4,20,SMALL GROWTH,60.0,2000-11-01 00:00:00,Promote,GB25,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Small Cap Growth Fund,Growth and Innovation
12,All,All Composites,Fixed Income,Fixed Income Funds,Fixed Income,Fixed Income,Fixed Income,Fixed Income,12,Global Equity Fund,PRCDIV,Performance includes daily accrual income and price performance.,22,R,Retired,2020-02-25 02:20:58,,Y,426907,4,21,,,2001-02-01 00:00:00,,GB26,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Global Equity Fund,
13,All,All Composites,Domestic,Domestic Equity Funds,Value,Value,Equity,Equity,13,Small Cap Value Fund,PRCDIV,Performance includes daily accrual income and price performance.,9,O,Open,2020-02-25 02:20:58,,Y,426907,4,22,SMALL VALUE,40.0,2001-12-14 00:00:00,Promote,GB27,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Small Cap Value Fund,Value and Alternative Return Streams 
14,All,All Composites,Domestic,Domestic Equity Funds,Value,Value,Equity,Equity,14,Mid Cap Value Fund,PRCDIV,Performance includes daily accrual income and price performance.,6,O,Open,2020-02-25 02:20:58,,Y,426907,4,23,MEDIUM VALUE,20.0,2002-03-01 00:00:00,Promote,GB28,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Mid Cap Value Fund,Value and Alternative Return Streams 
16,All,All Composites,Fixed Income,Fixed Income Funds,TIPS,TIPS,Fixed Income,Fixed Income,16,Real Return Fund,PRCDIV,Performance includes daily accrual income and price performance.,40,R,Retired,2020-02-25 02:20:58,,Y,426907,4,25,INFLATION PROTECTED,150.0,2005-12-01 00:00:00,Promote,GB30,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Real Return Fund,
17,All,All Composites,Domestic,Domestic Equity Funds,Growth,Growth,Equity,Equity,17,Small Company Growth Fund,PRCDIV,Performance includes daily accrual income and price performance.,11,R,Retired,2020-02-25 02:20:58,,Y,426907,4,26,SMALL GROWTH,,2006-02-01 00:00:00,,GB31,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Small Company Growth Fund,
18,All,All Composites,International and Global,International and Global Funds,Global,Global,Equity,Equity,18,Global Value Fund,PRCDIV,Performance includes daily accrual income and price performance.,24,I,Inactive,2020-02-25 02:20:58,,Y,426907,4,27,WORLD EQUITY,100.0,2006-08-07 00:00:00,,GB32,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Global Value Fund,
19,All,All Composites,Domestic,Domestic Equity Funds,Value,Value,Equity,Equity,19,Small Company Value Fund,PRCDIV,Performance includes daily accrual income and price performance.,12,R,Retired,2020-02-25 02:20:58,,Y,426907,4,28,SMALL VALUE,30.0,2007-05-01 00:00:00,,GB33,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Small Company Value Fund,
21,All,All Composites,Target Retirement,Target Retirement Funds,Income,Target Income,Target Retirement,Target Retirement,25,Target Retirement Income Fund,PRCDIV,Performance includes daily accrual income and price performance.,42,O,Open,2020-02-25 02:20:58,,Y,426907,4,600,TGT RET INC,0.0,2009-01-02 00:00:00,,GB50,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Target Retirement Income Fund,Fixed Income
22,All,All Composites,Target Retirement,Target Retirement Funds,Target Retirement,Target Retirement,Target Retirement,Target Retirement,26,Target Retirement 2010 Fund,PRCDIV,Performance includes daily accrual income and price performance.,43,M,Merged,2020-02-25 02:20:58,,Y,426907,4,601,TGT RET 2010,0.0,2009-01-02 00:00:00,,GB51,Mutual Funds,Harbor Capital Advisors,Internal,Harbor Target Retirement 2010 Fund,Fixed Income
