TRGT_DAILY_WGT_KEY,TRGT_FUND_KEY,DAY_KEY,FUND_KEY,SHR_QTY,MKT_VAL,DAILY_HOLDG_WGT,CURR_ROW_FLG,ROW_STRT_DTTM,ROW_STOP_DTTM,ETL_LOAD_CYC_KEY,SRC_SYS_ID
1053266,52,14612,139,528362.184,5553086.55,10,Y,1/4/20 5:01,,423290,
1053267,52,14612,133,149251.583,1473113.12,10,Y,1/4/20 5:01,,423290,
1053268,52,14612,125,11544.089,267938.31,10,Y,1/4/20 5:01,,423290,
1053269,52,14612,106,45527.717,527666.24,10,Y,1/4/20 5:01,,423290,
1053270,52,14612,82,7306.434,226791.71,10,Y,1/4/20 5:01,,423290,
1053271,52,14612,39,222060.148,2207277.87,10,Y,1/4/20 5:01,,423290,
1053272,52,14612,14,19340.075,407882.18,10,Y,1/4/20 5:01,,423290,
1053273,52,14612,13,8588.552,302317.03,10,Y,1/4/20 5:01,,423290,
1053274,52,14612,10,28967.248,276347.55,10,Y,1/4/20 5:01,,423290,
1053275,52,14612,8,31033.534,527880.41,10,Y,1/4/20 5:01,,423290,
1053276,52,14612,6,2106835.1,2106835.1,10,Y,1/4/20 5:01,,423290,
1053277,52,14612,5,471919.394,5559210.46,10,Y,1/4/20 5:01,,423290,
1053278,52,14612,4,36334.191,631488.24,10,Y,1/4/20 5:01,,423290,
1053279,52,14612,3,3520.213,269366.7,10,Y,1/4/20 5:01,,423290,
1053280,52,14612,2,13207.705,527911.97,10,Y,1/4/20 5:01,,423290,
1053281,52,14612,11,17688.843,246405.58,10,Y,1/4/20 5:01,,423290,
1053282,61,14612,39,291758.079,2900075.31,10,Y,1/4/20 5:01,,423290,
1053283,61,14612,11,36442.408,507642.74,10,Y,1/4/20 5:01,,423290,
1053284,61,14612,106,90153.865,1044883.3,10,Y,1/4/20 5:01,,423290,
1053285,61,14612,125,22422.427,520424.53,10,Y,1/4/20 5:01,,423290,
1053286,61,14612,133,195877.724,1933313.14,10,Y,1/4/20 5:01,,423290,
1053287,61,14612,139,526994.477,5538711.95,10,Y,1/4/20 5:01,,423290,
1053288,61,14612,14,38270.907,807133.43,10,Y,1/4/20 5:01,,423290,
1053289,61,14612,13,17384.355,611929.3,10,Y,1/4/20 5:01,,423290,
1053290,61,14612,10,58892.15,561831.11,10,Y,1/4/20 5:01,,423290,
1053291,61,14612,8,61311.38,1042906.57,10,Y,1/4/20 5:01,,423290,
1053292,61,14612,6,1822130.93,1822130.93,10,Y,1/4/20 5:01,,423290,
1053293,61,14612,5,470781.966,5545811.56,10,Y,1/4/20 5:01,,423290,
1053294,61,14612,4,70215.166,1220339.59,10,Y,1/4/20 5:01,,423290,
1053295,61,14612,3,6825.168,522261.86,10,Y,1/4/20 5:01,,423290,
1053296,61,14612,2,26139.673,1044802.73,10,Y,1/4/20 5:01,,423290,
1053297,61,14612,82,13490.603,418748.32,10,Y,1/4/20 5:01,,423290,
1053298,64,14612,39,288277.979,2865483.11,10,Y,1/4/20 5:01,,423290,
1053299,64,14612,82,15126.64,469530.91,10,Y,1/4/20 5:01,,423290,
1053300,64,14612,106,102826.891,1191763.67,10,Y,1/4/20 5:01,,423290,
1053301,64,14612,125,25449.828,590690.51,10,Y,1/4/20 5:01,,423290,
1053302,64,14612,133,193622.735,1911056.39,10,Y,1/4/20 5:01,,423290,
1053303,64,14612,139,377581.324,3968379.72,10,Y,1/4/20 5:01,,423290,
1053304,64,14612,14,43172.122,910500.05,10,Y,1/4/20 5:01,,423290,
1053305,64,14612,11,42343.115,589839.59,10,Y,1/4/20 5:01,,423290,
1053306,64,14612,2,29704.792,1187300.54,10,Y,1/4/20 5:01,,423290,
1053307,64,14612,3,7843.556,600188.91,10,Y,1/4/20 5:01,,423290,
