FUND_KEY,ALL_FUND_CD,ALL_FUND_DESC,FUND_COMPST_KEY,SHR_CLS_CD,SHR_CLS_DESC,FUND_NM,FUND_LONG_DESC,FUND_ABRV,FUND_STAT_CD,FUND_STAT_DESC,FUND_INCPN_DT,FUND_CLOS_DT,FUND_NBR,FUND_SORT_ORD,ADDR_ID,CUSIP_ID,QUOT_SYM,ST_STR_FUND_NBR,TAX_ID,RISK_LVL,DIVD_FREQ_CD,DIVD_FREQ_DESC,CAP_GAIN_FREQ_CD,CAP_GAIN_FREQ_DESC,REG_ACCT_INIT_INVMT,IRA_ACCT_INIT_INVMT,UGMA_ACCT_INIT_INVMT,ROW_STRT_DTTM,ROW_STOP_DTTM,CURR_ROW_FLG,SRC_SYS_ID,ETL_LOAD_CYC_KEY,PERF_INCPN_DT,PERF_CALC_FLG
63,All,All Funds,24,2,Investor Class,Target Retirement 2020 Fund,Target Retirement 2020 Fund - Investor Class,Target Retirement 2020-INV,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2803,143,10003,411511256,HARLX,GB53,263713284,5.0,A,Annually,A,Annually,10000,2500.0,2500.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
64,All,All Funds,25,1,Institutional Class,Target Retirement 2025 Fund,Target Retirement 2025 Fund - Institutional Class,Target Retirement 2025-INST,1,Open,2009-01-02 00:00:00,,2604,144,10003,411511249,HARMX,GB54,263713315,5.0,A,Annually,A,Annually,50000,1000.0,1000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
65,All,All Funds,25,3,Administrative Class,Target Retirement 2025 Fund,Target Retirement 2025 Fund - Administrative Class,Target Retirement 2025-ADMN,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2704,145,10003,411511231,HARNX,GB54,263713315,5.0,A,Annually,A,Annually,10000,50000.0,50000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
66,All,All Funds,25,2,Investor Class,Target Retirement 2025 Fund,Target Retirement 2025 Fund - Investor Class,Target Retirement 2025-INV,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2804,146,10003,411511223,HAROX,GB54,263713315,5.0,A,Annually,A,Annually,10000,2500.0,2500.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
67,All,All Funds,26,1,Institutional Class,Target Retirement 2030 Fund,Target Retirement 2030 Fund - Institutional Class,Target Retirement 2030-INST,1,Open,2009-01-02 00:00:00,,2605,147,10003,411512700,HARPX,GB55,263713340,5.0,A,Annually,A,Annually,50000,1000.0,1000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
68,All,All Funds,26,3,Administrative Class,Target Retirement 2030 Fund,Target Retirement 2030 Fund - Administrative Class,Target Retirement 2030-ADMN,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2705,148,10003,411512882,HARQX,GB55,263713340,5.0,A,Annually,A,Annually,10000,50000.0,50000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
69,All,All Funds,26,2,Investor Class,Target Retirement 2030 Fund,Target Retirement 2030 Fund - Investor Class,Target Retirement 2030-INV,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2805,149,10003,411512809,HARTX,GB55,263713340,5.0,A,Annually,A,Annually,10000,2500.0,2500.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
70,All,All Funds,27,1,Institutional Class,Target Retirement 2035 Fund,Target Retirement 2035 Fund - Institutional Class,Target Retirement 2035-INST,1,Open,2009-01-02 00:00:00,,2606,150,10003,411512106,HARUX,GB56,263713369,5.0,A,Annually,A,Annually,50000,1000.0,1000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
71,All,All Funds,27,3,Administrative Class,Target Retirement 2035 Fund,Target Retirement 2035 Fund - Administrative Class,Target Retirement 2035-ADMN,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2706,151,10003,411512304,HARVX,GB56,263713369,5.0,A,Annually,A,Annually,10000,50000.0,50000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
72,All,All Funds,27,2,Investor Class,Target Retirement 2035 Fund,Target Retirement 2035 Fund - Investor Class,Target Retirement 2035-INV,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2806,152,10003,411512205,HARWX,GB56,263713369,5.0,A,Annually,A,Annually,10000,2500.0,2500.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
73,All,All Funds,28,1,Institutional Class,Target Retirement 2040 Fund,Target Retirement 2040 Fund - Institutional Class,Target Retirement 2040-INST,1,Open,2009-01-02 00:00:00,,2607,153,10003,411512403,HARYX,GB57,263713394,5.0,A,Annually,A,Annually,50000,1000.0,1000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
74,All,All Funds,28,3,Administrative Class,Target Retirement 2040 Fund,Target Retirement 2040 Fund - Administrative Class,Target Retirement 2040-ADMN,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2707,154,10003,411512601,HARZX,GB57,263713394,5.0,A,Annually,A,Annually,10000,50000.0,50000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
75,All,All Funds,28,2,Investor Class,Target Retirement 2040 Fund,Target Retirement 2040 Fund - Investor Class,Target Retirement 2040-INV,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2807,155,10003,411512502,HABBX,GB57,263713394,5.0,A,Annually,A,Annually,10000,2500.0,2500.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
76,All,All Funds,29,1,Institutional Class,Target Retirement 2045 Fund,Target Retirement 2045 Fund - Institutional Class,Target Retirement 2045-INST,1,Open,2009-01-02 00:00:00,,2608,156,10003,411511181,HACCX,GB58,263713422,5.0,A,Annually,A,Annually,50000,1000.0,1000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
77,All,All Funds,29,3,Administrative Class,Target Retirement 2045 Fund,Target Retirement 2045 Fund - Administrative Class,Target Retirement 2045-ADMN,3,Retired,2009-01-02 00:00:00,2017-10-27 00:00:00,2708,157,10003,411511173,HADDX,GB58,263713422,5.0,A,Annually,A,Annually,10000,50000.0,50000.0,2020-02-25 02:21:10,,Y,4,426909,2009-01-02 00:00:00,Y
